Volt,Index
32.84,0.005086785
32.74,0.010112437
32.64,0.015075045
32.54,0.019974289
32.44,0.024809755
32.34,0.029581139
32.24,0.034288014
32.14,0.038930025
32.04,0.043506828
31.94,0.048017989
31.84,0.052463182
31.74,0.056841992
31.64,0.061154013
31.54,0.065398884
31.44,0.069576186
31.34,0.073685542
31.24,0.077726557
31.14,0.081698811
31.04,0.085601926
30.94,0.089435504
30.84,0.093199158
30.74,0.096892541
30.64,0.100515194
30.54,0.104066821
30.44,0.107547016
30.34,0.110955413
30.24,0.114291687
30.14,0.117555464
30.04,0.120746471
29.94,0.123864385
29.84,0.126908893
29.74,0.129879725
29.64,0.132776678
29.54,0.135599441
29.44,0.138347892
29.34,0.1410218
29.24,0.143621032
29.14,0.146145463
29.04,0.148595037
28.94,0.150969706
28.84,0.15326943
28.74,0.155494235
28.64,0.15764424
28.54,0.159719544
28.44,0.161720334
28.34,0.163646808
28.24,0.165499221
28.14,0.167277949
28.04,0.168983312
27.94,0.170615778
27.84,0.17217584
27.74,0.173664051
27.64,0.175081019
27.54,0.176427409
27.44,0.177703992
27.34,0.178911511
27.24,0.180050843
27.14,0.181122915
27.04,0.182128677
26.94,0.183069154
26.84,0.183945444
26.74,0.184758666
26.64,0.185510038
26.54,0.186200739
26.44,0.186832099
26.34,0.187405412
26.24,0.187922037
26.14,0.188383347
26.04,0.188790755
25.94,0.189145738
25.84,0.189449733
25.74,0.189704238
25.64,0.189910737
25.54,0.190070723
25.44,0.190185726
25.34,0.190257231
25.24,0.190286733
25.14,0.190275735
25.04,0.19022575
24.94,0.19013822
24.84,0.190014598
24.74,0.189856294
24.64,0.189664749
24.54,0.18944134
24.44,0.189187376
24.34,0.188904225
24.24,0.188593139
24.14,0.188255404
24.04,0.187892193
23.94,0.187504735
23.84,0.187094151
23.74,0.186661543
23.64,0.186208001
23.54,0.185734531
23.44,0.185242148
23.34,0.184731782
23.24,0.184204353
23.14,0.183660768
23.04,0.183101875
22.94,0.182528419
22.84,0.181941247
22.74,0.18134104
22.64,0.180728532
22.54,0.18010436
22.44,0.179469218
22.34,0.178823658
22.24,0.178168287
22.14,0.177503664
22.04,0.176830292
21.94,0.176148669
21.84,0.175459262
21.74,0.174762512
21.64,0.174058851
21.54,0.173348686
21.44,0.172632393
21.34,0.171910303
21.24,0.171182782
21.14,0.170450129
21.04,0.169712659
20.94,0.16897066
20.84,0.168224398
20.74,0.16747411
20.64,0.166720075
20.54,0.165962461
20.44,0.165201537
20.34,0.164437469
20.24,0.163670436
20.14,0.162900658
20.04,0.162128269
19.94,0.161353443
19.84,0.16057631
19.74,0.159797037
19.64,0.159015731
19.54,0.158232517
19.44,0.157447534
19.34,0.156660866
19.24,0.15587261
19.14,0.155082903
19.04,0.154291801
18.94,0.153499382
18.84,0.152705774
18.74,0.151910994
18.64,0.151115151
18.54,0.150318297
18.44,0.1495205
18.34,0.148721811
18.24,0.147922296
18.14,0.147121985
18.04,0.146320961
17.94,0.145519234
17.84,0.144716867
17.74,0.143913905
17.64,0.143110356
17.54,0.1423063
17.44,0.141501742
17.34,0.140696708
17.24,0.139891239
17.14,0.139085358
17.04,0.138279089
16.94,0.137472454
16.84,0.136665492
16.74,0.135858207
16.64,0.135050639
16.54,0.134242775
16.44,0.133434652
16.34,0.13262629
16.24,0.131817693
16.14,0.131008896
16.04,0.130199888
15.94,0.129390687
15.84,0.128581311
15.74,0.127771764
15.64,0.126962064
15.54,0.126152228
15.44,0.125342244
15.34,0.124532145
15.24,0.123721917
15.14,0.122911577
15.04,0.122101142
14.94,0.121290599
14.84,0.120479965
14.74,0.11966924
14.64,0.118858441
14.54,0.11804757
14.44,0.117236613
14.34,0.1164256
14.24,0.115614532
14.14,0.114803395
14.04,0.113992206
13.94,0.113180965
13.84,0.112369673
13.74,0.111558344
13.64,0.110746966
13.54,0.109935552
13.44,0.109124091
13.34,0.108312609
13.24,0.107501094
13.14,0.106689547
13.04,0.105877967
12.94,0.105066356
12.84,0.104254727
12.74,0.10344308
12.64,0.102631403
12.54,0.101819709
12.44,0.101007998
12.34,0.100196271
12.24,0.099384516
12.14,0.098572757
12.04,0.097760983
11.94,0.096949182
11.84,0.096137378
11.74,0.095325572
11.64,0.094513739
11.54,0.093701903
11.44,0.092890054
11.34,0.092078192
11.24,0.091266327
11.14,0.090454449
11.04,0.08964257
10.94,0.088830689
10.84,0.088018784
10.74,0.087206888
10.64,0.086394981
10.54,0.085583071
10.44,0.08477115
10.34,0.083959228
10.24,0.083147295
10.14,0.08233537
10.04,0.081523435
9.94,0.080711498
9.84,0.07989955
9.74,0.079087602
9.64,0.078275653
9.54,0.077463703
9.44,0.076651752
9.34,0.075839791
9.24,0.075027839
9.14,0.074215877
9.04,0.073403914
8.94,0.072591951
8.84,0.071779978
8.74,0.070968013
8.64,0.07015604
8.54,0.069344074
8.44,0.068532099
8.34,0.067720124
8.24,0.066908149
8.14,0.066096173
8.04,0.065284197
7.94,0.064472212
7.84,0.063660236
7.74,0.062848258
7.64,0.062036273
7.54,0.061224295
7.44,0.060412309
7.34,0.05960033
7.24,0.058788344
7.14,0.057976357
7.04,0.057164371
6.94,0.056352391
6.84,0.055540403
6.74,0.054728416
6.64,0.053916428
6.54,0.05310444
6.44,0.052292452
6.34,0.051480464
6.24,0.050668476
6.14,0.049856487
6.04,0.049044492
5.94,0.048232503
5.84,0.047420514
5.74,0.046608524
5.64,0.045796535
5.54,0.044984545
5.44,0.04417255
5.34,0.04336056
5.24,0.042548569
5.14,0.041736574
5.04,0.040924583
4.94,0.040112593
4.84,0.039300597
4.74,0.038488606
4.64,0.037676614
4.54,0.036864618
4.44,0.036052627
4.34,0.035240635
4.24,0.034428639
4.14,0.033616647
4.04,0.032804651
3.94,0.031992658
3.84,0.031180662
3.74,0.030368669
3.64,0.029556676
3.54,0.02874468
3.44,0.027932686
3.34,0.02712069
3.24,0.026308696
3.14,0.0254967
3.04,0.024684706
2.94,0.023872709
2.84,0.023060715
2.74,0.022248718
2.64,0.021436723
2.54,0.020624726
2.44,0.019812732
2.34,0.019000734
2.24,0.01818874
2.14,0.017376742
2.04,0.016564747
1.94,0.01575275
1.84,0.014940754
1.74,0.014128757
1.64,0.013316761
1.54,0.012504763
1.44,0.011692767
1.34,0.010880769
1.24,0.010068773
1.14,0.009256775
1.04,0.008444778
0.94,0.00763278
0.84,0.006820783
0.74,0.006008785
0.64,0.005196788
0.54,0.00438479
0.44,0.003572792
0.34,0.002760794
0.24,0.001948796
0.14,0.001136798
0.04,0.000324799
